课程名称,学分
模拟电子技术,3
模拟电子技术,3
模拟电子技术,3
模拟电子技术,3
营销导论,2
毕业设计（论文）（汉语言）,10
毕业设计（论文）（汉语言）,10
毕业设计（论文）（汉语言）,10
毕业设计(汉语言专业-双语方向),10
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
中华文明与社会的历史进程,2
装饰材料与构造,3
大国战略,2
生活中的毒理学,3
电工与电子技术（G）,4
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
概率论,3
研究选题与论文写作,2
数学实验,2
桥牌与博弈论,3
模糊数学及其应用,2
偷师大自然:动物仿生学,1
基于LabVIEW的机械系统动态信号采集与分析,2
智能材料与微精驱动原理与技术,3
SolidWorks与机械设计,2
现代汽车排放污染物控制新技术,3
工程应用软件(1) (CAD-UG),2
工程应用软件(1) (CAD-UG),2
绿色材料与绿色能源,2
生物医用金属材料,2
多元微积分,4
大学英语（3）,3.0
大学英语（3）,3.0
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
机械设计原理（A类）,3.0
人机工程学,2.0
专题设计（3）,1.0
调研与分析,3
程序设计,6
农业生物技术,2
基因工程与功能性食品,2
交响音乐鉴赏,2
中西乐理及其应用,2
中西乐理及其应用,2
创业基础,2
量子力学Ⅰ,5
量子力学Ⅰ,5
物理实验（3）,2
物理研究实践II,1
环境的生物评价,2
环境问题与对策,2
基础法语(上),4
西方风景园林规划设计史,2
花卉应用学,2
德语（1）,4
系统建模方法与应用,2
基础日语(上),4
基础日语(上),4
基础日语(上),4
基础日语(上),4
基础日语(下),4
基础日语(（Ⅲ）,4
概率统计,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
运动系统解剖学,1
毛泽东思想和中国特色社会主义理论体系概论,3
大学英语（3）,3.0
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
经济与社会伦理,2
新闻媒介与社会,2
毕业设计（论文）（法语）,8
中西乐理及其应用,2
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
大学化学实验,1
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
概率统计,3.0
概率统计,3.0
专业实习（传播学）（1）,1
传播研究方法,3
中外影视史（A类）,4
影视精品赏析（1-2）,2
大学化学实验,1
大学化学实验,1
大学化学实验,1
大学化学实验,1
大学化学实验,1
数理方法,3.0
数理方法,3.0
中级财务会计,3
中级财务会计,3
经济思想史,2
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
有机化学（B类）,4
化工原理基础,4
营销在中国,3
全球运营与管理,2
管理学,2
新产品管理,2
定价策略,2
创业机会识别,2
VB编程技术,2
体育（4）,1.0
研究实习,10
初级综合法语（2）,4
物理学实验（1）,1.5
商务统计学,3
园林建筑学,3
空间导向设计,3.0
信号与系统（A类）,4
信号与系统（A类）,4
信号与系统（A类）,4
信号与系统（A类）,4
电磁场（A类）,4
电磁场（A类）,4
电磁场（A类）,4
硬件描述语言与系统仿真,2
硬件描述语言与系统仿真,2
硬件描述语言与系统仿真,2
电子信息领域前沿技术（工程）探究,1
在实验中探究生物技术,2
在实验中探究生物技术,2
基本电路实验,2
毕业设计（论文）（艺术设计）,13.0
经济思想史,2
市场营销学（B类）,3
材料力学,4
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
操作系统,2
大学英语（2）,3
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
中国现代史专题研究：团练、水师与北洋军阀,3
爱的艺术与人生,2
美学,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
日语演讲比赛（1）,2
英语听说（2）,2
英语听说（2）,2
英语阅读与写作（2）,2
英语阅读与写作（2）,2
基础德语（2）,10
社会实习（传播学）（一）,6
新闻实务（三）,3
文献检索与解读,2
英语新闻阅读与写作,3
新媒体与社会,2
广告创意文案,2
数字出版理论与实务,2
记录片策划、撰稿与制作,2
媒介批评,2
大学化学,2.0
大学英语（4）,3.0
大学英语（4）,3.0
西方美术史,2
欧洲文化导论,2
中日科技文化交流,2
英语公众演讲,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
设计思维,2
用户研究方法,3
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
体育（4）,1.0
美学,2
文学与人生,2
文学与人生,2
工程心理学,2
信息与感知,2
影视精品赏析（2-1）,2
集成电路与微系统封装技术,2
生态学,2.0
多尺度物理问题计算方法,3
核科学与技术导论,3
辐射与核能发展史,2
自然界中的混沌与分岔,2
出国实用法语,1
出国实用法语,1
大学英语（5）,3
大学英语（4）,3.0
基本电路实验,2
基因与人,2
高等数学（A）（2）,4.0
计算机及应用毕业设计,2.5
高级法汉互译,2
高级法汉互译,2
大学英语（5）,3
海洋学导论,2
多元微积分,4
海洋学导论,2
海洋学导论,2
多元微积分,4
海洋可再生能源,2
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
数据结构（荣誉）,3
大学英语（2）,3
大学英语（2）,3
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（3）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
毛泽东思想和中国特色社会主义理论体系概论,3
毛泽东思想和中国特色社会主义理论体系概论,3
无线通信原理与移动网络,3
毛泽东思想和中国特色社会主义理论体系概论,3
基础力学中的数学建模方法及解析,2
概率统计,3.0
概率统计,3.0
概率统计,3.0
概率统计,3.0
走进纳米科学,2
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
通用英语(4B),5
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
大学英语（2）,3
HSK解析和应对策略,2
HSK解析和应对策略,2
中级汉语口语（2）,4
文化的魅力,2
中级汉语口语（2）,4
文化的魅力,2
中级汉语口语（2）,4
环境变化与中华文明,2
大众传播与社会问题,3
大学物理（B类）（1）,3
健康中国（2）,2
医用有机化学(A类),5
医用有机化学(A类),5
微观经济学（C类）,3
国际政治概论,3
社会保障概论,3
定性研究方法,3
管理技能与创新实践（二）,2
管理技能与创新实践（三）,2
大学英语（2）,3
基本电路理论,4.0
毛泽东思想和中国特色社会主义理论体系概论,3
毛泽东思想和中国特色社会主义理论体系概论,3
数理方法,3.0
公共经济学,3
公共政策分析,3
定量研究方法,3
程序语言设计,3
系统工程,2
系统工程,2
工程热力学(1),3
建筑设计及原理（1-2）,8
建筑设计原理（下）,2
汉语写作（A类）（2）,2
汉语写作（A类）（2）,2
汉语写作（A类）（2）,2
旅游文化（A类）,2
大学物理（B类）（2）,3
大学物理（C类）,4
大学物理（D类）（2）,4
材料力学,4
材料力学,4
材料化学,3
材料化学,3
材料化学,3
财务会计信息系统,2
会计学,2
报表分析与估值,2
报表分析与估值,2
城市发展与管理,3
社区管理与社会工作,2
体育（2）,1.0
高性能计算,2
经济全球化与中国的崛起,2
推理与思维训练,2
统计原理,2
数学的天空,3
数学史,3
机器的征途：空天科技,2
材料与生态,2
数学分析（荣誉）（2）,5
数学分析（荣誉）（2）,5
材料美学,2
中国政府与政治,3
工程实践与科技创新Ⅳ-A（卓工）,2
政治经济学经典导读,3
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
基本电路理论,4.0
基本电路实验,2
初级综合法语（2）,4
初级综合法语（2）,4
初级综合法语（2）,4
基础学术法语,2
基础学术法语,2
基础学术法语,2
基础学术法语,2
房屋建筑学,2
房屋建筑学课程设计,2
半导体物理与器件,4
数字集成电路设计,4
软件工程,3
普通心理学,2
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
流体力学基础,2
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
国际政治经济学导论,2
素描,2
大学医科数学（A类）（2）,4
线性代数（B类）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（4）,1.0
体育（4）,1.0
生命伦理学,2
生命伦理学,2
生命科学导论,2
科学计算,3
抽象代数,4
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
船舶原理（2－推进、操纵与耐波）,4
水下作业系统,2
工程热力学,3
生产实习（航空航天工程）（A类）,4
建筑构造（1）,3
高等数学V,6
高等数学VI,6
出国实用法语,1
法语论文写作,1
信函写作与社交英语,1
信函写作与社交英语,1
船舶原理实验,2
船舶原理实验,2
船舶与海洋工程试验研究,3
大学化学实验,1
大学化学实验,1
基本电路实验,2
基本电路实验,2
工程学导论,3.0
空气动力学（1）,3
毛泽东思想和中国特色社会主义理论体系概论,3
工程热力学(1),3
电子信息领域前沿技术（工程）探究,1
生物学导论（宏观生物学）,4
生物学导论讨论课（2）,2
信函写作与社交英语,1
信息与编码原理,2
图像处理概论,2
有限元方法,2
马克思主义基本原理,3.0
马克思主义基本原理,3.0
马克思主义基本原理,3.0
马克思主义基本原理,3.0
马克思主义基本原理,3.0
马克思主义基本原理,3.0
毕业创作与论文,3
花卉与草虫禽鸟,3
行书草书篆刻,3
中国古诗词,2
中国美术史,2
篆、隶、楷书,3
跨文化管理,2
数据结构,4
学子讲坛（2）,2
信号与系统（A类）,4
工程学导论,3.0
高级公司财务,2
沟通技巧与领导力开发,2
电子商务,3
专业学术报告,2
营销导论,2
质量管理（A类）,2
材料科学基础,4
FORTRAN编程及科学计算,2
绘画基础,2
宏观经济学（B类）,2
投资与融资管理,2
经济优化方法,3
经济优化方法,3
微生物学（D类）,3
微生物学（G类）,2.5
渠道管理（A类）,2
古典诗文名篇选读,3
现代中国文学与文化,2
中国现代小说选读,2
汉字与文化,2
汉语惯用语和成语,2
经济学原理,4
经济与管理精要（2）,1
概率与统计学,3
流体力学（D类）,4
材料力学（F类）,2
中国经济,3
经济学,2
英语演讲,2
环境工程导论,2
生命科学实验探索,2
地球生命,2
微生物的世界,2
气味科学中的健康密码,2
脑与日常行为,2
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
流体力学（1）,2
影视广告,3.0
力学创新实验,1.5
力学创新实验,1.5
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
材料力学,3
材料力学（B类）,4
工程热力学（B类）,3
机械振动,2
专业导论（B类）,1
交通运输专业导论,2
信息安全的数学基础（1）,3
数据库原理,2
数据库原理,2
计算机组成与系统结构,3
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
当代中国经典作家导读,2
中国文化的全球传播,2
船舶与海洋工程试验研究,3
船舶动力装置课程设计,2
毕业设计（论文）（轮机工程）,17
泛函分析,3
拓扑学基础,3
专业研讨课（4）,1
数理统计,3
材料力学,3
常微分方程和偏微分方程的数值方法,3
材料力学,3
化学前沿,2
有机化学实验,4
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
中级综合法语（2）,4
中级综合法语（2）,4
中级综合法语（2）,4
中级综合法语（2）,4
初级法语语法（2）,4
初级法语语法（2）,4
初级法语语法（2）,4
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
工程图学（1）,2
工程图学（2）,2
工程图学（2）,2
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
城市公共艺术,6
装饰材料与构造,3
标识设计,3
Flash动画设计,3
广告设计（1）,6
广告摄影,2
印刷设计,3.0
初级法语语法（2）,4
西方文化管理概论,3
文化行政,2
中外文化史,2
中外文学史（A类）,4
影视音效与音乐,3
影视特效与包装,4
好莱坞电影研究,2
影视制作实践：电视导播,3
新媒体导论,2
专业实习（传播学）（3）,1
企业经营决策模拟,2
战略性品牌管理（A类）,2
研究选题与论文写作,2
研究选题与论文写作,2
研究选题与论文写作,2
装饰材料与构造,3
大学英语（3）,3.0
大学英语（3）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
数学分析（荣誉）（2）,6
数学分析（C类）（2）,6
数学分析（C类）（2）,6
概率统计,3.0
概率统计,3.0
概率统计,3.0
概率统计,3.0
概率统计,3.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
有机合成,3
物理化学实验（A类）,2
物理化学实验（A类）,2
物理化学(A)(2),3
生物医学信号与系统（1）,2
生物学导论,2
细胞生物学,2
材料科学与工程基础,2
细胞生物学,2
《老子》、《庄子》选读,2
形势与政策,0.5
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
大学物理（B类）（1）,3
大学物理（B类）（1）,3
程序设计思想与方法,3
程序设计思想与方法,3
程序设计思想与方法,3
媒体创意经济,2
工程实践与科技创新I,2
智能信息处理,2
美国的文化与历史,2
美国的文化与历史,2
哥伦布大交换与现代世界的形成,3
学术英语交际:写作与发言,2
学术英语交际:写作与发言,2
与风景的对话:中外园林艺术欣赏,2
天文学史,2
历史视野下的美国文化,2
历史视野下的美国文化,2
世界文化史,2
信息素养与实践,2
刑法与生活,2
生物质能工程,2
电磁学,3
电磁学,3
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
大学英语（2）,3
英语视听说（2）,4.0
英语视听说（2）,4.0
英语视听说（2）,4.0
英语读写（2）,4
英语读写（2）,4
英语读写（2）,4
英语语言学概论（2）,2
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
毛泽东思想和中国特色社会主义理论体系概论,3
毛泽东思想和中国特色社会主义理论体系概论,3
电路理论（荣誉）,3
电路理论（荣誉）,3
电路理论（荣誉）,3
船舶与海洋工程导论,2
船体构造与制图,3
船体构造与制图,3
船体构造与制图,3
船舶流体力学,4
船舶流体力学,4
船舶流体力学,4
材料力学（B类）,4
工程与社会,3
工程与社会,3
工程与社会,3
工程与社会,3
工程与社会,3
工程与社会,3
形势与政策,0.5
形势与政策,0.5
体育（2）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
体育（2）,1.0
常微分方程,4
军事理论,1.0
汉语综合课（4）,6
世界民族音乐鉴赏,2
汉语综合课（4）,6
世界民族音乐鉴赏,2
世界民族音乐鉴赏,2
汉语视听（2）,4
世界民族音乐鉴赏,2
汉语视听（2）,4
佛教与中国传统文化,2
汉语视听（2）,4
西方哲学史,2
中国哲学经典选读,3
大学生健康心理学,2
港台影视研究,2
视听语言,2
采访与写作,2
电视摄像,4
电视摄像,4
中外艺术史论,3
经济学原理,2
物权法,3
法理学,2
刑法总论,4
大学化学实验,1
毛泽东思想和中国特色社会主义理论体系概论,3
微波遥感技术,2
大数据挖掘（AI）,2
数字图像处理,2
系统设计方法、工具与实践,2
大数据通信网络模型和算法,2
市场营销学（B类）,3
毕业论文,3
新闻学导论,3
项目管理,2
市场研究方法,3
技术经济学,2
计算机为媒介的传播,3
传播学概论,3
运营管理,3
运营管理,3
报表分析与估值,2
报表分析与估值,2
工程与社会,3
工程与社会,3
工程经济学（A类）,3
工程统计学,3
运筹学,4
管理基础,2
管理基础,2
管理基础,2
管理基础,2
电子政务,3
管理基础,2
电子商务基础,2
基本电路实验,2
体育心理学,3
英语读写（2）,3
汉语一（下）,2
中级微观经济学,4
唐诗宋词人文解读,2
高等数学（A）（1）,6
法语翻译,3
遗传学与进化,2
材料加工原理,5
民法,4
德语（3）,2
现代控制理论（B类）,3
信息检索与利用,1
普适数字学习,2
大学基础英语（2）,3
大学物理（A类）（2）,4
生命科学发展史,2
商法,3
生命科学导论,2
钢结构课程设计,2
德语（2）,2
人文社科与经管（3）,2
城市地下空间规划与实例,2
大学英语（4）,3
工程热力学,3
工程热力学,3
信息检索与利用,1
中国近现代史纲要,2
综合英语2,3
汉语阅读（1）,4
药物发展:延续生命的奥秘,2
工程热力学,3
国防形势与思想政治教育,2
高级汉语精读（2）,4
大学基础英语（4）,3
工程实践与科技创新I,2
生命科学发展史,2
高等数学（B类）（2）,4
数学分析（D类）,4
组织行为学,3
综合俄语2,4
基础物理实验（荣誉）（1）,1
汉语二（下）,2
企业创新,3
计算机控制技术,3
计算机程序设计基础,3
市场营销学（B类）,3
英语听说（2）,3
国际政治概论,3
国际投资学,2
理论力学（D类）,4.5
职业生涯发展与规划,2
生物防治,2
英语语言学概论（2）,2
工程热力学,3
唐诗宋词人文解读,2
英语读写（2）,3
沟通技巧与领导力开发,3
公共政策分析,3
刑法,4
语言与社会,2
现代造船技术,2.5
综合实验（荣誉）,1
数学分析（荣誉）（2）,5
英语语言学概论（2）,2
商贸法语,3
工程物理与化学基础（4）,4
军事体能,2
物理性污染控制,2
媒介经济学,2
唐诗宋词人文解读,2
大学英语（4）,3
信息时代的计算机科学理论,2
机器学习（AI）,3
工程热力学,3
媒介与社会,2
德语（3）,2
工程热力学,3
广告策划,2
工程热力学,3
汉语二（上）,2
法语国家概况,3
机器学习与数据科学中的数值方法,2
生命科学发展史,2
影视节目后期制作,2
工程实践,3
新闻与传播学毕业论文,2
汉语一（上）,2
毕业设计（论文）（电气）,12
证券投资分析,3
马克思主义基本原理,3
专业实习（生物信息）,2
专业实习（生物工程专业）,2
专业实习(食品科学与工程),2
专业综合实践,3
专业实习（自动化）,2
专业实习(化学),4
专业实习(化学工程与工艺),4
建筑工程施工实习,4
地下工程施工实习,4
专业实习(药学),2
专业实习(化学),4
专业实习（生物技术）,2
专业实习（计算机）,2
国际航运专业实习,4
专业实习（测控）,2
生产实习（微电子）,3
生产实习,1
专业实习,3.5
专业实习（生物医学工程）,4
专业实习（动物科学）,2
专业实习（信息安全）,2
认识实习,2
测量实习,2
超导物理,1
超导实验,1
生产实习（轮机工程）,4
认识实习（电气－卓越）,1
实验室实践,3
科技实习与创新―生物工程（1）,2
科技实习与创新－生物信息学（1）,2
经济与社会伦理,2
文化的魅力,2
新闻媒介与社会,2
学术英语交际:写作与发言,2
学术英语交际:写作与发言,2
国花、市花与文化,2
历史视野下的美国文化,2
古希腊文明演绎,2
大学生健康心理学,2
工程技术探究,2
工程认知实践,2
大众传播与社会问题,3
大众传媒与文化,2
生命科学发展史,2
生物技术与人类,3
跨学科高级模拟与数据处理,2
编程综合实践,3
初等数论,2
认识实习(药学),1
环境与健康,2
基因与人,2
中国现代诗歌导读,3
汉字文化,3
美国的文化与历史,2
近世中国历史与文化,2
美学,2
文学与人生,2
交响音乐鉴赏,2
佛教与中国传统文化,2
科技实习与创新－生物技术（1）,2
工程实践(B类),2
军训,3
军训,3
军训,3
管理基础,2
管理基础,2
国学与领导力发展,2
电子商务：创新与战略,2
管理学,2
宏观经济学（B类）,2
脑与日常行为,2
西方哲学史,2
广告的力量,2
军训,3
军训,3
军训,3
建筑赏析,2
图形创意设计,2
项目管理及软件开发课程设计,4
计算机系统基础（1）（下）,2
药物发展:延续生命的奥秘,2
积极心理学,2
镁合金及其成形技术,1
土木建筑与可持续发展,2
电子废物-资源-环境,2
先进核能系统材料：挑战与展望,2
现代农业与生态文明,1
植物生物技术:过去、现在和未来,2
设计创新的艺术,2
气味科学中的健康密码,2
西方美术史,2
生命科学导论,2
生命科学导论,2
马克思哲学经典著作导读,2
唐诗宋词人文解读,2
物理学拓展,2
中俄关系的演变与展望,3
现代日本政治,2
大国战略,2
人类与饥饿,2
孙子兵法,2
中日科技文化交流,2
世界文化史,2
西洋文学经典导读：古典到启蒙时期,2
全球化与建筑,3
语言与大脑,2
唐宋词名篇精读,2
"安泰全球暑期项目
",3
体育（5）,1
体育（5）,1
体育（5）,1
生命安全与救援――运动及户外活动中的安全与救护,2
开源和创意建模,4
素描实习（A类）,2
天然药物野外实践,.5
环境监测实习,2
微生物的世界,2
大学生健康导论,2
统计原理,2
随机模拟方法与应用,3
数学的天空,3
欧洲文化导论,2
英语写作,2
莎士比亚戏剧赏析,2
英国经典散文赏析,2
风险与社会保障,2
公共危机中的化学,2
清洁能源技术：原理与应用,2
西方美术与创新思维,2
微生物海洋学与极端生命,1
脑的奥秘与精神健康,2
全球变化概论:原因和应对策略,1
工程数理分析,2
人类进化与饮食革命,2
大学生健康教育,2
急救与自救,2
情感心理学,2
心理自助,2
日常生活中的心理学,2
艺术社会学,2
职业生涯发展与规划,2
东京审判,1
东京审判与近现代亚太地区政治外交,2
战后日本社会,2
素描,2
设计素描,2
广告摄影,2
插花艺术,1
细胞世界,2
在实验中探究生物技术,2
海洋学导论,2
海洋学导论,2
海洋学导论,2
工程实践与科技创新I,2
刑法与生活,2
环境与可持续发展,2
跨学科数值方法实践,4
认知实习（卓越计划）,1
人与环境,3
人与环境,3
形象思维与工程语言,2
计算软件应用,2
"安泰全球暑期项目
（7月班）",3
中国文化的全球传播,2
数学史,3
人工智能交互技术,2
无人驾驶算法开发,3
无人驾驶环境感知,2
移动机器人构建与编程,1
VEX机器人设计与开发,2
3D打印结构优化与创新设计,2
中药学通论,2
物理异想,2
流形上的微积分,2
工程实践(B类),2
经济学,2
土木工程探秘与实践,2
基于安卓开发平台的电子系统综合设计,2
新能源技术及应用,2
环境监测,2
垃圾处理与气候变化,1
走进纳米科学,2
辐射及应用,2
职业生涯发展与规划,2
全球变化下的自然和生态,2
食品营养与健康,2
花卉艺术,2
园艺与文化,1
中医药养生与保健,2
1930年代上海文学地图,1
审美人类学,2
香港电影专题研究,2
印度的历史与文化,2
职业生涯发展与规划,2
生产实习（船舶与海洋工程）,4
在实验中探究生物技术,2
数学实验,2
体育（5）,1
体育（5）,1
体育（5）,1
体育（5）,1
体育（5）,1
体育（5）,1
体育（5）,1
半导体材料与文明,1
色彩实习,2
专业实习（电科）,2
专业实习（信工）,2
